Frequency,Intensity
0.00000,0.00113
70.59055,0.00152
127.06298,0.00200
172.24093,0.00260
208.38329,0.00335
237.29718,0.00428
260.42829,0.00544
262.16739,0.00555
263.90649,0.00567
265.64559,0.00579
267.38469,0.00592
269.12379,0.00605
270.86289,0.00619
272.60199,0.00634
274.34109,0.00649
276.08019,0.00665
277.81929,0.00681
279.55839,0.00699
281.29749,0.00717
283.03659,0.00736
284.77569,0.00757
286.51479,0.00778
288.25389,0.00801
289.99299,0.00825
291.73209,0.00851
293.47119,0.00878
295.21029,0.00907
296.94939,0.00938
298.68849,0.00971
300.42759,0.01006
302.16669,0.01044
303.90579,0.01085
305.64489,0.01129
307.38399,0.01176
309.12309,0.01228
310.86219,0.01284
312.60129,0.01345
314.34039,0.01411
316.07949,0.01484
317.81859,0.01563
319.55769,0.01651
321.29679,0.01748
323.03589,0.01854
324.77499,0.01972
326.51409,0.02103
328.25319,0.02248
329.99229,0.02408
331.73139,0.02585
333.47049,0.02780
335.20959,0.02993
336.94869,0.03225
338.68779,0.03476
340.42689,0.03744
342.16599,0.04028
344.25723,0.04388
345.99633,0.04702
347.73543,0.05024
349.47453,0.05349
351.21363,0.05667
352.95273,0.05964
354.69183,0.06222
356.43093,0.06420
359.41628,0.06570
361.15538,0.06533
362.89448,0.06409
364.63358,0.06214
366.37268,0.05971
368.11178,0.05703
369.85088,0.05430
371.58998,0.05170
373.32908,0.04933
375.06818,0.04727
376.80728,0.04557
378.54638,0.04425
380.28548,0.04332
382.02458,0.04277
383.76368,0.04260
385.50278,0.04280
387.24188,0.04338
388.98098,0.04431
390.72008,0.04559
392.45918,0.04720
394.26413,0.04920
396.00323,0.05140
397.74233,0.05379
399.48143,0.05627
401.22053,0.05870
402.95963,0.06088
404.69873,0.06261
406.43783,0.06368
408.31300,0.06392
410.05210,0.06325
411.79120,0.06175
413.53030,0.05957
415.26940,0.05692
417.00850,0.05398
418.74760,0.05096
420.48670,0.04800
422.22580,0.04520
423.96490,0.04261
425.70400,0.04028
427.44310,0.03820
429.18220,0.03638
430.92130,0.03479
432.66040,0.03342
434.39950,0.03225
436.13860,0.03126
437.87770,0.03043
439.61680,0.02975
441.35590,0.02920
443.09500,0.02877
444.83410,0.02844
446.57320,0.02822
448.31230,0.02809
450.05140,0.02805
451.79050,0.02808
453.52960,0.02820
455.26870,0.02838
457.00780,0.02864
458.74690,0.02898
460.48600,0.02938
462.22510,0.02985
463.96420,0.03040
465.70330,0.03102
467.44240,0.03173
469.18150,0.03251
470.92060,0.03339
472.65970,0.03435
474.39880,0.03542
476.13790,0.03659
477.87700,0.03787
479.61610,0.03926
481.35520,0.04077
483.09430,0.04239
484.83340,0.04411
486.57250,0.04591
488.31160,0.04776
490.05070,0.04962
491.78980,0.05145
493.52890,0.05319
495.63958,0.05515
497.37868,0.05662
499.11778,0.05799
500.85688,0.05929
502.59598,0.06060
504.33508,0.06196
506.07418,0.06343
507.81328,0.06507
509.55238,0.06692
511.29148,0.06900
513.03058,0.07134
514.76968,0.07397
516.50878,0.07690
518.24788,0.08015
519.98698,0.08375
521.72608,0.08772
523.46518,0.09210
525.20428,0.09691
526.94338,0.10221
528.68248,0.10804
530.42158,0.11445
532.16068,0.12151
533.89978,0.12930
535.63888,0.13789
537.37798,0.14740
539.11708,0.15793
540.85618,0.16962
542.59528,0.18262
544.33438,0.19711
546.07348,0.21329
547.81258,0.23140
549.55168,0.25172
551.29078,0.27453
553.02988,0.30019
554.76898,0.32907
556.50808,0.36158
558.24718,0.39813
559.98628,0.43912
561.72538,0.48489
563.46448,0.53561
565.20358,0.59122
566.94268,0.65123
568.68178,0.71454
570.42088,0.77924
572.15998,0.84247
573.89908,0.90042
575.63818,0.94865
577.37728,0.98268
579.69067,1.00000
581.42977,0.99008
583.16887,0.96152
584.90797,0.91744
586.64707,0.86212
588.38617,0.80011
590.12527,0.73546
591.86437,0.67136
593.60347,0.61004
595.34257,0.55282
597.08167,0.50038
598.82077,0.45290
600.55987,0.41029
602.29897,0.37223
604.03807,0.33834
605.77717,0.30821
607.51627,0.28144
609.25537,0.25762
610.99447,0.23641
612.73357,0.21749
614.47267,0.20058
616.21177,0.18542
617.95087,0.17181
619.68997,0.15957
621.42907,0.14851
623.16817,0.13851
624.90727,0.12945
626.64637,0.12121
628.38547,0.11370
630.12457,0.10684
631.86367,0.10057
633.60277,0.09481
635.34187,0.08953
637.08097,0.08466
638.82007,0.08017
640.55917,0.07602
642.29827,0.07217
644.03737,0.06861
645.77647,0.06529
647.51557,0.06221
649.25467,0.05934
650.99377,0.05666
652.73287,0.05415
654.47197,0.05181
656.21107,0.04961
657.95017,0.04755
659.68927,0.04561
661.42837,0.04379
663.16747,0.04207
664.90657,0.04045
666.64567,0.03892
685.77577,0.02658
708.73189,0.01819
736.27924,0.01248
769.33605,0.00859
809.00423,0.00592
856.60604,0.00409
